CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,41,55,50
2,Female,69,51,54
3,Female,28,46,48
4,Female,66,55,54
5,Male,25,28,12
6,Male,53,17,28
7,Male,55,26,14
8,Female,57,32,20
9,Female,37,96,15
10,Female,52,71,64
11,Male,65,53,57
12,Female,42,28,29
13,Female,52,47,55
14,Male,42,63,35
15,Male,46,19,65
16,Male,35,52,55
17,Male,63,67,50
18,Female,35,68,38
19,Male,19,41,49
20,Male,52,26,19
21,Female,33,38,49
22,Male,58,44,55
23,Male,53,57,42
24,Male,50,79,7
25,Female,21,54,57
26,Female,50,20,83
27,Male,31,22,14
28,Female,38,54,41
29,Female,65,22,11
30,Male,37,70,50
31,Female,25,78,83
32,Male,24,54,48
33,Male,20,59,56
34,Female,34,50,45
35,Female,50,52,31
36,Female,65,42,60
37,Male,29,101,80
38,Male,68,59,52
39,Female,39,115,89
40,Female,39,83,75
41,Male,63,16,81
42,Female,47,21,10
43,Male,55,21,12
44,Female,55,33,26
45,Male,62,24,30
46,Female,68,55,43
47,Male,25,32,23
48,Female,44,46,48
49,Female,44,76,5
50,Male,51,29,33
51,Female,38,71,18
52,Female,47,49,46
53,Female,50,22,13
54,Female,45,55,43
55,Female,64,57,49
56,Female,50,82,8
57,Male,22,50,56
58,Male,65,90,8
59,Male,36,55,56
60,Male,21,16,83
61,Male,52,49,54
62,Male,66,77,2
63,Female,34,68,82
64,Male,61,57,42
65,Male,45,60,36
66,Female,47,84,6
67,Male,46,49,50
68,Female,63,76,79
69,Male,70,95,10
70,Female,23,61,40
71,Female,52,59,61
72,Male,58,35,43
73,Male,54,27,18
74,Female,41,88,77
75,Female,46,55,48
76,Female,66,96,16
77,Female,63,57,46
78,Male,70,80,78
79,Male,48,58,46
80,Male,52,26,34
81,Female,50,93,79
82,Female,69,31,17
83,Male,38,38,41
84,Male,49,66,79
85,Male,40,85,93
86,Male,50,57,48
87,Female,20,61,32
88,Female,35,56,56
89,Female,42,43,59
90,Female,59,57,46
91,Male,48,60,68
92,Female,20,56,51
93,Female,57,80,9
94,Female,63,93,9
95,Female,41,25,16
96,Female,67,58,52
97,Female,49,30,16
98,Male,64,52,42
99,Male,39,51,53
100,Male,40,92,75
101,Male,19,61,60
102,Female,44,27,33
103,Male,59,21,71
104,Female,19,67,25
105,Female,43,60,49
106,Male,34,26,12
107,Male,57,37,20
108,Female,50,55,55
109,Male,26,27,21
110,Male,60,77,18
111,Male,65,70,60
112,Male,56,32,16
113,Female,46,20,19
114,Female,59,85,89
115,Female,43,41,62
116,Female,52,53,46
117,Female,67,74,3
118,Male,42,93,82
119,Female,41,72,72
120,Female,30,52,63
121,Female,24,52,37
122,Female,53,23,18
123,Male,62,58,14
124,Male,37,53,55
125,Male,18,69,59
126,Male,25,82,74
127,Female,63,37,20
128,Female,33,55,49
129,Male,31,25,18
130,Female,29,50,45
131,Male,68,24,16
132,Male,40,21,20
133,Male,32,23,30
134,Male,45,33,58
135,Female,51,64,33
136,Male,19,52,47
137,Female,49,70,76
138,Female,40,46,64
139,Male,39,62,60
140,Female,68,92,7
141,Female,42,22,83
142,Male,39,72,86
143,Female,39,23,17
144,Male,66,92,85
145,Male,69,23,28
146,Male,59,74,86
147,Female,23,59,47
148,Female,32,88,73
149,Male,60,29,18
150,Male,54,50,58
151,Female,50,77,72
152,Male,25,42,54
153,Male,70,44,64
154,Female,61,38,63
155,Female,61,56,49
156,Male,22,50,53
157,Female,56,54,58
158,Female,21,86,83
159,Male,23,23,19
160,Female,62,57,36
161,Male,49,71,87
162,Female,69,86,80
163,Female,47,55,52
164,Female,64,50,43
165,Male,52,56,42
166,Female,57,27,68
167,Male,69,63,53
168,Male,33,57,57
169,Male,30,68,58
170,Female,67,15,11
171,Female,59,78,82
172,Male,47,90,76
173,Female,36,56,43
174,Male,34,50,38
175,Female,36,47,39
176,Male,45,75,22
177,Female,43,47,71
178,Male,54,27,81
179,Female,43,76,86
180,Male,70,79,15
181,Male,40,110,81
182,Male,26,64,44
183,Female,29,54,64
184,Female,70,49,64
185,Male,18,92,78
186,Female,18,91,21
187,Female,64,28,9
188,Female,51,21,18
189,Female,49,54,54
190,Male,65,86,5
191,Male,42,88,86
192,Female,57,27,87
193,Female,62,61,53
194,Female,70,54,36
195,Male,18,89,83
196,Male,33,87,6
197,Female,56,74,22
198,Female,22,54,55
199,Female,39,55,50
200,Female,46,62,45
